850-ML_M5_35_new__YEL039C__SCD;1;2;9
1429-TFL_TF1_31__YPL075W__SCD;1;1;10
1576-TFL_TF2_31__YJL056C__SCD;1;2;10
1627-TFL_TF2_31__YGR186W__SCD;1;2;10
1571-TFL_TF2_33__YGR104C__SCD;1;2;10
808-ML_M5_34__YJL089W__SCD;1;2;10
782-ML_M1_34__YGL035C__SCD;1;1;11
786-ML_M1_34__YHR124W__SCD;1;1;11
1375-TFL_TF1_31__YDR463W__SCD;1;1;11
1429-TFL_TF1_31__YPL075W__SCD;1;1;11
1406-TFL_TF1_32__YOR162C__SCD;1;1;11
563__MSRFP__SCD;2;2;11
564__MSYFP__SCD;1;2;11
1398-TFL_TF1_33__YMR037C__SCD;1;2;11
1561-TFL_TF2_31__YER130C__SCD;1;2;11
1576-TFL_TF2_31__YJL056C__SCD;1;2;11
1601-TFL_TF2_31__YPR086W__SCD;1;2;11
1627-TFL_TF2_31__YGR186W__SCD;1;2;11
1571-TFL_TF2_33__YGR104C__SCD;1;2;11

563__MSRFP__SCD;1;1;13
2316-GlobalL_GL3_31__YLR093C__SCD;1;1;13
2290-GlobalL_GL3_31__YKL145W__SCD;1;1;13
2322-GlobalL_GL3_31__YPL065W__SCD;1;1;13
2158-GlobalL_GL2_31__YFR037C__SCD;1;1;14
2206-GlobalL_GL2_31__YIL050W__SCD;1;1;14
2245-GlobalL_GL2_31__YLR110C__SCD;1;1;14
2168-GlobalL_GL2_32__YJR060W__SCD;1;1;14
2215-GlobalL_GL2_32__YHR071W__SCD;1;1;14
2217-GlobalL_GL2_32__YBR067C__SCD;1;1;14
2222-GlobalL_GL2_32__YLR383W__SCD;1;1;14
2233-GlobalL_GL2_32__YDR092W__SCD;1;1;14
2241-GlobalL_GL2_32__YDR510W__SCD;1;1;14
2194-GlobalL_GL2_33__YDR013W__SCD;1;1;14
2195-GlobalL_GL2_33__YDL008W__SCD;1;1;14
2247-GlobalL_GL3_31__YAL041W__SCD;1;1;14
2248-GlobalL_GL3_31__YLR229C__SCD;1;1;14
2249-GlobalL_GL3_31__YFL039C__SCD;1;1;14
2250-GlobalL_GL3_31__YIL034C__SCD;1;1;14
2251-GlobalL_GL3_31__YKL007W__SCD;1;1;14
2252-GlobalL_GL3_31__YAL029C__SCD;1;1;14
2253-GlobalL_GL3_31__YGL106W__SCD;1;1;14
2158-GlobalL_GL2_31__YFR037C__SCD;1;1;15
2206-GlobalL_GL2_31__YIL050W__SCD;1;1;15
2223-GlobalL_GL2_31__YFR031C__SCD;1;1;15
2225-GlobalL_GL2_31__YJL030W__SCD;1;1;15
1561-TFL_TF2_31__YER130C__SCD;1;1;16
1619-TFL_TF2_31__YDR421W__SCD;1;1;16
1633-TFL_TF3_32__YDL223C__SCD;1;1;16
1610-TFL_TF3_33__YCR065W__SCD;1;1;16
1564-TFL_TF2_31__YFR013W__SCD;1;1;17
1566-TFL_TF2_31__YGL096W__SCD;1;1;17
1569-TFL_TF2_31__YGL151W__SCD;1;1;17
1573-TFL_TF2_31__YIL021W__SCD;1;1;17
1598-TFL_TF2_31__YPL139C__SCD;1;1;17
1615-TFL_TF2_31__YDR213W__SCD;1;1;17
1626-TFL_TF2_31__YDL002C__SCD;1;1;17
781-ML_M1_34__YER040W__SCD;1;1;17
1576-TFL_TF2_32__YJL056C__SCD;1;1;17
1627-TFL_TF2_33__YGR186W__SCD;1;1;17
1396-TFL_TF3_32__YMR021C__SCD;1;1;17
1633-TFL_TF3_32__YDL223C__SCD;1;1;17
1565-TFL_TF3_32__YGL071W__SCD;1;1;17
1365-TFL_TF3_33__YBR066C__SCD;1;1;17
1568-TFL_TF3_33__YGL150C__SCD;1;1;17
1610-TFL_TF3_33__YCR065W__SCD;1;1;17
2276-GlobalL_GL3_31__YER025W__SCD;1;2;18
2289-GlobalL_GL3_31__YDL007W__SCD;1;2;18
2290-GlobalL_GL3_31__YKL145W__SCD;1;2;18
563__MSRFP__SCD;2;2;18
2316-GlobalL_GL3_31__YLR093C__SCD;1;2;18
2332-GlobalL_GL3_31__YDL134C__SCD;1;2;18
30__YJL177W__SCD;1;1;19
97__YDL184C__SCD;1;1;19
151__YML024W__SCD;1;2;19
187__YOR182C__SCD;1;2;19
196__YOR096W__SCD;1;2;19
30__YJL177W__SCD;1;1;20
79__YER056C-A__SCD;1;1;20
151__YML024W__SCD;1;2;20
772__MS1__SCD;1;2;20
177__YKL156W__SCD;1;2;20
187__YOR182C__SCD;1;2;20
140__YDR064W__SCD;1;1;21
30__YJL177W__SCD;1;1;21
772__MS1__SCD;1;1;21
151__YML024W__SCD;1;2;21
772__MS1__SCD;1;2;21
771__Y8205__SCD;1;2;21
186__YLR287C-A__SCD;1;2;21
187__YOR182C__SCD;1;2;21
30__YJL177W__SCD;1;1;22
772__MS1__SCD;1;1;22
68__YOR063W__SCD;4;1;22
138__YOR369C__SCD;1;2;22
151__YML024W__SCD;1;2;22
772__MS1__SCD;1;2;22
187__YOR182C__SCD;1;2;22
30__YJL177W__SCD;1;1;23
95__YKR094C__SCD;1;1;23
131__YGR214W__SCD;1;2;23
151__YML024W__SCD;1;2;23
187__YOR182C__SCD;1;2;23
848-ML_M1_35__YDR272W__SCD_AA;1;1;1
867-ML_M1_34__YGR248W__SCD_AA;1;1;1
967-ML_M3_34__YCL035C__SCD_AA;1;1;1
982-ML_M3_34__YDR298C__SCD_AA;1;1;1
967-ML_M3_34__YCL035C__SCD_AA;1;2;1
68__YOR063W__SCD_AA;4;2;1
1054-ML_M3_34__YNL292W__SCD_AA;1;2;1
